Lap,Driver,Position,MCTS_Call,Confidence_Delta_Sec,Was_Computed,Total_Lap_Exec_Time
1,LEC,1,STAY OUT (TIRES FRESH),6.99,Yes,2.35
1,HUL,2,STAY OUT (TIRES FRESH),19.97,Yes,2.35
1,RUS,3,STAY OUT (TIRES FRESH),24.18,Yes,2.35
1,HAM,4,STAY OUT (TIRES FRESH),7.82,Yes,2.35
1,HAD,5,STAY OUT (TIRES FRESH),24.28,Yes,2.35
1,LIN,6,STAY OUT (TIRES FRESH),24.17,Yes,2.35
1,NOR,7,STAY OUT (TIRES FRESH),7.59,Yes,2.35
1,ANT,8,STAY OUT (TIRES FRESH),7.41,Yes,2.35
1,OCO,9,STAY OUT (TIRES FRESH),24.21,Yes,2.35
1,GAS,10,STAY OUT (TIRES FRESH),24.29,Yes,2.35
1,ALO,11,STAY OUT (TIRES FRESH),19.15,Yes,2.35
1,BOR,12,STAY OUT (TIRES FRESH),24.22,Yes,2.35
1,ALB,13,STAY OUT (TIRES FRESH),23.93,Yes,2.35
1,SAI,14,STAY OUT (TIRES FRESH),18.87,Yes,2.35
1,BEA,15,STAY OUT (TIRES FRESH),24.32,Yes,2.35
1,BOT,16,STAY OUT (TIRES FRESH),20.69,Yes,2.35
1,VER,17,STAY OUT (TIRES FRESH),19.96,Yes,2.35
1,COL,18,STAY OUT (TIRES FRESH),19.89,Yes,2.35
1,LAW,19,STAY OUT (TIRES FRESH),24.55,Yes,2.35
1,PER,20,STAY OUT (TIRES FRESH),24.12,Yes,2.35
1,STR,21,STAY OUT (TIRES FRESH),23.93,Yes,2.35
2,RUS,1,STAY OUT (TIRES FRESH),22.64,Yes,0.27
2,LEC,2,STAY OUT (TIRES FRESH),5.07,Yes,0.27
2,HAM,3,STAY OUT (TIRES FRESH),6.27,Yes,0.27
2,HAD,4,STAY OUT (TIRES FRESH),22.44,Yes,0.27
2,LIN,5,STAY OUT (TIRES FRESH),22.44,Yes,0.27
2,NOR,6,STAY OUT (TIRES FRESH),6.22,Yes,0.27
2,ANT,7,STAY OUT (TIRES FRESH),5.8,Yes,0.27
2,OCO,8,STAY OUT (TIRES FRESH),22.58,Yes,0.27
2,GAS,9,STAY OUT (TIRES FRESH),22.55,Yes,0.27
2,ALO,10,STAY OUT (TIRES FRESH),17.66,Yes,0.27
2,BOR,11,STAY OUT (TIRES FRESH),22.46,Yes,0.27
2,BEA,12,STAY OUT (TIRES FRESH),22.38,Yes,0.27
2,ALB,13,STAY OUT (TIRES FRESH),22.54,Yes,0.27
2,SAI,14,STAY OUT (TIRES FRESH),17.81,Yes,0.27
2,VER,15,STAY OUT (TIRES FRESH),18.94,Yes,0.27
2,COL,16,STAY OUT (TIRES FRESH),18.39,Yes,0.27
2,LAW,17,STAY OUT (TIRES FRESH),22.36,Yes,0.27
2,BOT,18,STAY OUT (TIRES FRESH),17.98,Yes,0.27
2,PER,19,STAY OUT (TIRES FRESH),22.52,Yes,0.27
2,STR,20,STAY OUT (TIRES FRESH),22.67,Yes,0.27
3,LEC,1,STAY OUT (TIRES FRESH),3.73,Yes,0.15
3,RUS,2,STAY OUT (TIRES FRESH),20.97,Yes,0.15
3,HAM,3,STAY OUT (TIRES FRESH),4.7,Yes,0.15
3,HAD,4,STAY OUT (TIRES FRESH),21.0,Yes,0.15
3,LIN,5,STAY OUT (TIRES FRESH),20.97,Yes,0.15
3,ANT,6,STAY OUT (TIRES FRESH),4.29,Yes,0.15
3,NOR,7,STAY OUT (TIRES FRESH),4.67,Yes,0.15
3,OCO,8,STAY OUT (TIRES FRESH),20.77,Yes,0.15
3,GAS,9,STAY OUT (TIRES FRESH),21.08,Yes,0.15
3,BOR,10,STAY OUT (TIRES FRESH),20.96,Yes,0.15
3,BEA,11,STAY OUT (TIRES FRESH),20.86,Yes,0.15
3,ALO,12,STAY OUT (TIRES FRESH),16.42,Yes,0.15
3,ALB,13,STAY OUT (TIRES FRESH),21.11,Yes,0.15
3,VER,14,STAY OUT (TIRES FRESH),17.31,Yes,0.15
3,SAI,15,STAY OUT (TIRES FRESH),16.53,Yes,0.15
3,COL,16,STAY OUT (TIRES FRESH),16.52,Yes,0.15
3,LAW,17,STAY OUT (TIRES FRESH),20.88,Yes,0.15
3,PER,18,STAY OUT (TIRES FRESH),20.99,Yes,0.15
3,BOT,19,STAY OUT (TIRES FRESH),17.17,Yes,0.15
3,STR,20,STAY OUT (TIRES FRESH),20.39,Yes,0.15
4,LEC,1,STAY OUT (TIRES FRESH),2.56,Yes,0.23
4,RUS,2,STAY OUT (TIRES FRESH),19.55,Yes,0.23
